custom/routes_completed,custom/avg_speed,custom/mean_reward,custom/total_reward,custom/avg_center_dev,custom/total_distance,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate
0.2765957446808511,11.913723634172225,-0.06331983595520517,-3.6725504854019,0.8596948248852896,12.769945523934439,,,,,,,,,,
0.017142857142857144,10.247793785535,-0.04350424305301962,-2.088203666544942,0.6868805997629012,8.93086935998872,,,,,,,,,,
0.052083333333333336,7.240038260275116,-0.09321865309848934,-3.262652858447127,0.21622612002851993,4.6594519258942455,,,,,,,,,,
0.03202846975088968,10.890527732132504,-0.07074018766214063,-3.3955290077827502,0.8281061300442626,9.471100577386096,,,,,,,,,,
,,,,,,146,62.22826086956522,3.7561709891304353,5725,92,39,,,,
0.07142857142857142,9.502159579713982,-0.05290576561541292,-1.9046075621548653,0.33125634950247684,6.3302743441890925,,,,,,,,,,
0.02676864244741874,12.815504097785047,0.1403510663362609,8.561415046511915,0.3246091627741038,14.28661186620593,,,,,,,,,,
0.027777777777777776,9.514919136994358,-0.12895453309371507,-5.931908522310893,0.8062198391028307,7.885848497739062,,,,,,,,,,
0.05921052631578947,10.425770025093723,0.07825182959653565,4.1473469686163895,0.4307023993387108,10.051957163028419,,,,,,,,,,
,,,,,,151,61.635416666666664,3.6492969583333337,5917,96,39,,,,
0.38461538461538464,13.794683893680794,-0.07871978993440247,-4.644467606129746,1.2455573307556198,15.002253385493532,,,,,,,,,,
0.06486486486486487,16.263164943378133,0.018319250385746274,1.5204977820169407,1.266393934171543,24.704138623550534,,,,,,,,,,
0.5,15.087984702728647,0.2107272791540204,22.758546148634203,0.40500873721765135,29.925172882387415,,,,,,,,,,
0.16494845360824742,14.392452621179514,0.08371551468813317,5.525223969416789,0.5268660182767607,17.308762051863596,,,,,,,,,,
,,,,,,158,62.29,3.7538609499999995,6229,100,39,,,,
0.25862068965517243,13.824902884352715,0.08414495056337017,5.04869703380221,0.6605098377222204,15.151837166864425,,,,,,,,,,
0.06060606060606061,14.37485484919769,0.08436841020658503,6.833841226733387,0.618297505380639,21.28659585979767,,,,,,,,,,
0.4772727272727273,15.125052868903087,0.17624018580386092,13.394254121093429,0.5499128084850825,20.99424804013688,,,,,,,,,,
0.021739130434782608,11.273294611163516,-0.08392095427711065,-4.028205805301311,0.7438068031564677,9.790884657762945,,,,,,,,,,
,,,,,,165,62.62,3.98993112,6490,104,39,,,,
0.5555555555555556,16.712560514370846,0.28662124751800105,23.502942296476085,0.2910673908816084,25.05036502436269,,,,,,,,,,
0.14285714285714285,12.896508014878664,0.15668996942719843,10.0281580433407,0.36038363086767045,15.105557494796813,,,,,,,,,,
0.47619047619047616,14.189414135191434,0.010131300029916185,0.7598475022437139,1.097192367962704,19.449243518407457,,,,,,,,,,
0.028824833702882482,12.686935485273287,0.047669348787332116,2.6218141833032664,0.5616014946287184,12.688515664078295,,,,,,,,,,
,,,,,,172,62.65,4.0039615600000005,6762,108,39,,,,
0.07929515418502203,13.913059573546786,0.23769214650219805,16.87614240165606,0.19548058063911747,18.245909529505298,,,,,,,,,,
0.05862068965517241,19.42992798438451,0.17361199594729196,16.493139614992735,0.8550840858670203,33.91577515867539,,,,,,,,,,
0.25,11.36781738088745,0.05361393668677243,2.7879247077121665,0.5708152254969254,10.764624819625169,,,,,,,,,,
0.03225806451612903,11.385115222975399,-0.04574611437752538,-2.4702901763863707,0.7240014909307612,11.158850767067634,,,,,,,,,,
,,,,,,178,62.54,4.18137539,7030,112,39,,,,
0.9148936170212766,20.658130836843483,0.07995233576331347,8.874709269727795,0.679699429449833,42.13150199363008,,,,,,,,,,
0.07094594594594594,15.548747652459403,-0.061707267749870814,-3.8258506004919903,1.004277791956841,17.60885759233497,,,,,,,,,,
0.052083333333333336,7.683302332072143,-0.09657715993544486,-3.283623437805125,0.246556712441505,4.687920440454036,,,,,,,,,,
0.044715447154471545,10.585368132009988,-0.09036036490177117,-5.060180434499186,0.8334199740126208,10.765100062009878,,,,,,,,,,
,,,,,,184,62.3,3.7715047800000003,7289,116,39,,,,
0.13095238095238096,11.100128438040175,-0.06535638222283223,-3.5292446400329407,0.4795712462355596,10.875324891880155,,,,,,,,,,
